,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
players,扬尼斯,阿德托昆博,SF,23,200,200,16,87,2.8,9.2,0.76,17.3,0.53,1.7,0.33,2.1,93,8.1,82,4.7,83,93,1.5,1.3,93,,,,
players,斯蒂芬,库里,PG,30,200,200,9,63,3,6.2,0.9,7.2,0.51,10,0.41,0.7,87,4.4,95,6.5,56,71,1.6,0.1,88,,,,
players,安东尼,戴维斯,PF,25,200,200,18,92,2.1,7.9,0.81,16.4,0.53,2.1,0.34,2.4,93,8.2,84,2.4,89,90,1.3,2.1,94,,,,
players,勒布朗,詹姆斯,SF,33,200,200,5,83,4.4,6,0.74,13.8,0.54,4.8,0.36,1.1,91,7,89,8.9,75,70,1.6,1,93,,,,
players,达米安,利拉德,PG,28,200,200,24,58,3.1,6.6,0.9,10.6,0.48,8.2,0.37,0.7,81,3.8,82,6.5,52,66,1,0.4,89,,,,
players,凯文,杜兰特,SF,29,200,200,9,82,3.1,5.6,0.89,11.6,0.51,6,0.38,0.5,90,6.3,90,5.5,71,76,0.8,1.9,91,,,,
players,拉塞尔,威斯布鲁克,PG,29,200,200,20,81,4.6,6.9,0.72,17.2,0.49,4.4,0.34,1.7,89,7.6,77,10.3,76,75,2,0.2,90,,,,
players,德马库斯,考辛斯,C,27,200,200,18,99,5,8.2,0.75,11.9,0.5,6.1,0.34,2.2,93,10.7,79,5.4,93,84,1.6,1.6,95,,,,
players,凯里,欧文,PG,26,200,200,1,55,2.3,4.5,0.89,11.8,0.5,6.7,0.37,0.6,81,3.1,85,5,48,70,1.1,0.3,87,,,,
players,维克多,奥拉迪波,SG,26,200,200,11,70,2.9,5.3,0.81,12.1,0.49,6.2,0.37,0.5,85,4.8,83,4.1,61,76,2.1,0.8,90,,,,
players,德文,布克,SG,21,200,200,23,54,3.6,6,0.9,11.9,0.47,6.8,0.36,0.4,75,4,78,4.9,47,70,0.9,0.3,88,,,,
players,德玛尔,德罗赞,SG,28,200,200,27,56,2.2,7.2,0.83,14.6,0.48,3.5,0.34,0.8,82,3.2,76,5.2,50,65,1.2,0.3,89,,,,
players,乔尔,恩比德,PF,24,200,200,22,88,4,7.8,0.79,13.9,0.49,3.3,0.33,2.3,87,9,75,3.2,85,82,0.6,1.9,91,,,,
players,布拉德利,比尔,SG,25,200,200,29,56,2.4,5,0.79,12.1,0.48,6.6,0.36,0.8,79,3.7,80,4.2,51,70,1.2,0.4,90,,,,
players,路易斯,威廉姆斯,SG,31,200,200,12,48,3,6.3,0.9,9.4,0.46,7.4,0.37,0.5,73,2.1,77,5.3,42,48,1.1,0.2,87,,,,
players,肯巴,沃克,PG,28,200,200,3,53,2.2,5.7,0.85,10.3,0.46,7.6,0.37,0.4,76,2.9,78,5.8,46,59,1.2,0.3,88,,,,
players,克里斯塔普斯,波尔津吉斯,PF,22,200,200,19,78,1.9,5.7,0.79,13.7,0.48,4.8,0.36,1.3,83,5.3,78,1.2,72,80,0.8,2.4,91,,,,
players,吉米,巴特勒,SF,28,200,200,17,64,1.9,7.1,0.86,12.4,0.48,3.4,0.35,1.3,84,4.1,76,5,60,69,2,0.4,92,,,,
players,布雷克,格里芬,PF,29,200,200,8,64,2.8,6.5,0.8,11.9,0.47,5.8,0.35,1.4,78,6.5,74,5.5,60,60,0.9,0.3,91,,,,
players,拉玛库斯,阿尔德里奇,PF,33,200,200,26,65,1.5,5.1,0.84,16.3,0.49,1.4,0.32,3.4,78,5,73,2,71,53,0.5,1.2,91,,,,
players,保罗,乔治,SF,28,200,200,20,64,2.7,4.9,0.8,9.3,0.47,7.6,0.38,0.9,81,4.5,83,3,58,66,2.2,0.5,91,,,,
players,CJ,麦科勒姆,SG,26,200,200,24,51,1.9,3.1,0.86,12.5,0.47,5.8,0.37,0.6,74,3.3,79,3.2,45,58,1,0.4,89,,,,
players,克莱,汤普森,SG,28,200,200,9,52,1.8,1.3,0.86,8.8,0.48,7.2,0.38,0.4,75,3.6,85,2.6,45,57,0.7,0.6,89,,,,
players,卡尔,安东尼,PF,22,200,200,17,83,1.9,4.4,0.85,10,0.49,3.6,0.35,2.9,84,9.2,79,2.3,83,81,0.8,1.4,92,,,,
players,克里斯,米德尔顿,SG,26,200,200,16,56,2.3,4,0.87,10.5,0.46,5.3,0.34,0.5,75,4.8,73,4.2,49,59,1.3,0.2,90,,,,
players,TJ,沃伦,SF,24,200,200,23,51,1.4,4.1,0.75,14.6,0.48,1.5,0.3,1.8,70,3.4,64,1.4,52,56,1,0.6,88,,,,
players,丹尼斯,施罗德,PG,24,200,200,0,48,2.6,4,0.87,13.5,0.46,3.8,0.32,0.7,70,2.4,66,6.4,44,57,1.1,0.1,85,,,,
players,克里斯,保罗,PG,33,200,200,10,68,2.2,3.9,0.9,7.3,0.47,6.8,0.37,0.6,83,5.1,81,8.3,60,60,1.8,0.3,87,,,,
players,多诺万,米切尔,SG,21,200,200,28,52,2.6,3.2,0.84,9.7,0.45,6.5,0.35,0.6,73,2.8,73,3.4,46,67,1.5,0.4,87,,,,
players,约翰,沃尔,PG,27,200,200,29,67,3.6,6,0.72,12.3,0.45,4,0.34,0.5,80,3,70,9.3,58,65,1.3,1.1,88,,,,
players,泰瑞克,埃文斯,SF,28,200,200,14,54,2.1,3.8,0.8,10.1,0.46,5.4,0.35,0.9,71,4.2,73,4.9,49,49,1,0.3,87,,,,
players,埃里克,戈登,SG,29,200,200,10,44,2,3.9,0.82,5.7,0.44,9,0.36,0.4,71,2,72,2.4,38,48,0.7,0.4,87,,,,
players,朱,霍勒迪,SG,28,200,200,18,59,2.5,3,0.78,10.1,0.47,4.8,0.34,0.6,75,3.7,71,5.3,52,57,1.4,0.7,90,,,,
players,阿隆,戈登,PF,22,200,200,21,63,1.9,4.2,0.72,9.2,0.45,5.8,0.35,1.7,74,6.6,71,2.2,61,66,0.9,0.7,90,,,,
players,哈里森,巴恩斯,SF,26,200,200,6,51,1.5,3.9,0.83,11.3,0.45,4,0.33,1.1,67,5.5,67,1.9,48,49,0.7,0.2,89,,,,
players,托拜厄斯,哈里斯,SF,26,200,200,12,50,1.1,2.8,0.82,9.2,0.45,5.8,0.36,0.7,69,4.4,73,2,45,53,0.8,0.3,88,,,,
players,林,书豪,PG,29,200,200,2,31,3,7,0.9,10,0.42,2,0.34,0.3,60,1,65,4,27,35,0.2,0.1,81,,,,
players,埃文,富尼耶,SF,25,200,200,21,45,1.8,3.1,0.88,8.5,0.45,5.6,0.35,0.5,67,2.7,71,2.9,40,50,0.9,0.3,88,,,,
players,安德鲁,威金斯,SG,23,200,200,17,52,1.7,3.9,0.63,11.6,0.45,4.2,0.33,1,73,3.3,67,1.8,48,64,1.1,0.6,89,,,,
players,凯文,乐福,PF,29,200,200,5,62,1.5,4.6,0.88,7.1,0.45,5.4,0.36,1.9,73,7.4,73,1.6,61,51,0.7,0.4,87,,,,
players,马克,加索尔,PF,33,200,200,14,72,2.7,4.9,0.84,10.4,0.44,4.3,0.33,1.2,71,7.2,65,3.9,66,41,0.7,1.5,90,,,,
players,尼古拉,武切维奇,C,27,200,200,21,72,1.9,1.6,0.82,10.8,0.47,4.1,0.31,1.8,74,7.5,66,3.3,69,56,1,1.1,89,,,,
players,加里,哈里斯,SG,23,200,200,7,50,1.9,2.4,0.84,7.4,0.46,6,0.36,0.6,73,2.2,74,3.1,45,63,1.8,0.3,89,,,,
players,扎克,拉文,SG,23,200,200,4,50,1.4,4.3,0.82,9.4,0.43,5.2,0.35,0.4,69,4.1,67,2.5,43,58,1.1,0.1,83,,,,
players,戈兰,德拉季奇,PG,32,200,200,15,48,2.3,3.8,0.77,10.4,0.44,4.2,0.33,0.7,67,3.3,66,4.8,43,38,0.9,0.2,85,,,,
players,迈克,康利,PG,30,200,200,14,45,1.5,5.5,0.8,7.6,0.42,6.4,0.34,0.3,68,2.3,63,4.1,39,41,1,0.3,85,,,,
players,埃里克,布莱索,PG,28,200,200,16,59,2.9,4.4,0.77,8.5,0.45,4.9,0.33,0.6,74,2.9,67,4.3,52,55,2.1,0.6,86,,,,
players,JJ,雷迪克,SG,34,200,200,22,40,1.4,3.1,0.9,6.1,0.43,6.6,0.36,0.3,63,2.5,71,3.2,35,35,0.6,0.1,86,,,,
players,卡梅罗,安东尼,PF,34,200,200,20,53,1.3,2.9,0.78,9.6,0.44,5.8,0.34,0.7,68,5.3,68,1.4,48,35,0.6,0.6,89,,,,
players,罗德尼,胡德,SF,25,200,200,5,41,1.6,2.4,0.88,7.4,0.43,6.7,0.36,0.4,65,2.5,70,1.6,36,46,0.8,0.2,85,,,,
players,尼科拉,约季奇,SF,23,200,200,7,75,2.7,3.9,0.85,9,0.46,3.6,0.34,2.6,80,7.8,69,5.6,76,74,1.2,0.7,89,,,,
players,本,西蒙斯,PG,22,200,200,22,76,3.7,4.5,0.6,13.1,0.47,1,0.29,1.8,81,6,62,7.3,72,78,1.8,0.9,89,,,,
players,尼古拉,米罗蒂奇,SF,27,200,200,18,58,1.3,3.1,0.8,5.8,0.44,6.5,0.36,1.1,70,5.6,73,1.6,54,52,0.8,0.7,85,,,,
players,凯尔,洛瑞,PG,32,200,200,27,58,2.5,3.6,0.86,4.9,0.43,7.6,0.37,0.9,75,4.8,71,6.4,53,48,1.2,0.2,86,,,,
players,蒂姆,哈达威二世,SG,26,200,200,19,47,1.6,3.2,0.78,7.3,0.43,7,0.34,0.6,67,3.5,65,2.9,43,49,1.1,0.2,87,,,,
players,贾马尔,穆雷,SG,21,200,200,7,45,2.1,2.8,0.9,7.8,0.44,5.1,0.34,1,69,2.5,69,2.9,43,62,0.8,0.3,86,,,,
players,科怀,伦纳德,SF,27,200,200,26,66,1.8,4.2,0.82,8.4,0.46,3.9,0.33,0.7,77,4,69,2.3,58,62,2,1,84,,,,
players,布兰顿,英格拉姆,SF,20,200,200,13,55,2.5,5,0.68,11.3,0.44,1.7,0.33,0.9,70,4.3,65,3.7,51,65,0.8,0.7,89,,,,
players,达尼罗,加里纳利,SF,29,200,200,12,48,1.2,3.7,0.9,7.1,0.42,5.8,0.33,0.4,66,4.3,62,2.3,42,40,0.7,0.3,87,,,,
players,凯尔,库兹马,PF,22,200,200,13,50,1.7,2.6,0.7,8,0.44,5.2,0.34,1.2,67,4.7,67,1.8,48,55,0.6,0.4,87,,,,
players,奥斯汀,里弗斯,PG,25,200,200,12,44,1.8,2.7,0.65,7.4,0.43,6.3,0.36,0.4,67,1.8,68,3.7,39,49,1.2,0.3,86,,,,
players,德怀特,霍华德,C,32,200,200,3,80,2.8,7.3,0.6,10.7,0.46,1,0.27,3.3,72,9.3,54,1.4,83,44,0.7,1.6,90,,,,
players,德安吉洛,拉塞尔,PG,22,200,200,2,46,3.4,3.4,0.71,9.3,0.43,4.7,0.32,0.7,65,3.2,62,4.4,42,54,0.7,0.2,81,,,,
players,保罗,米尔萨普,PF,33,200,200,7,65,2.1,4.1,0.69,9,0.44,3.6,0.33,1.5,71,4.7,64,3.1,61,40,1.1,1.3,88,,,,
players,劳里,马尔卡宁,PF,21,200,200,4,58,1.2,2.3,0.86,6.5,0.43,6.3,0.35,1.1,68,6.6,67,1.3,54,61,0.6,0.6,88,,,,
players,安德烈,德拉蒙德,C,24,200,200,8,96,2.8,5,0.62,11.1,0.47,1,0.27,5,84,10.6,57,3.7,105,78,1.6,1.5,92,,,,
players,以赛亚,托马斯,PG,29,200,200,13,40,2.9,4.5,0.88,7,0.41,5.9,0.32,0.4,62,1.6,57,4.6,35,36,0.6,0.1,82,,,,
players,小丹尼斯,史密斯,SG,20,200,200,6,48,2.9,2.8,0.68,9.6,0.42,4.8,0.33,0.7,67,3.2,62,5,44,60,1,0.2,85,,,,
players,雷吉,杰克逊,PG,28,200,200,8,43,2.5,2.8,0.84,8.5,0.43,3.8,0.33,0.7,65,2.2,63,5.5,40,41,0.6,0.1,83,,,,
players,乔丹,克拉克森,SG,26,200,200,5,42,1.8,2.4,0.8,8.6,0.43,4,0.33,0.8,63,2.2,63,3.2,39,43,0.8,0.1,82,,,,
players,威尔,巴顿,SG,27,200,200,7,55,1.9,2.6,0.77,7.2,0.43,4.9,0.34,0.8,70,4,66,4.1,50,50,1.1,0.6,87,,,,
players,克林特,卡佩拉,C,24,200,200,10,83,1.5,3.7,0.6,9.4,0.5,1,0.27,3.2,82,7.9,61,1,85,75,0.8,1.9,89,,,,
players,扎克,兰多夫,PF,37,200,200,25,50,2.1,1.9,0.79,10.4,0.44,2.3,0.31,1.8,59,5.2,62,2.1,50,35,0.8,0.2,84,,,,
players,艾弗里,布拉德利,SG,27,200,200,12,41,2.3,1.8,0.76,9.2,0.42,4.6,0.33,0.5,62,2.1,63,2.1,36,39,1.1,0.2,85,,,,
players,朱利叶斯,兰德尔,C,23,200,200,13,55,2.4,4.4,0.69,9.4,0.46,1,0.27,2,66,5.3,55,2.3,56,53,0.5,0.6,85,,,,
players,达里奥,萨里奇,SF,25,200,200,22,53,2,2.4,0.9,6.5,0.43,5,0.34,2.1,68,4.9,66,2.7,54,53,0.7,0.3,87,,,,
players,朗戴,霍利斯,SF,23,200,200,2,56,1.7,4.7,0.79,10.1,0.44,1,0.3,1.5,68,5,58,2.3,54,55,0.8,0.7,86,,,,
players,迪昂,维特斯,SG,26,200,200,15,43,2.3,2.3,0.74,8,0.42,5.7,0.33,0.3,64,2.3,60,3.8,37,44,0.8,0.3,85,,,,
players,奥托,波特,SF,25,200,200,29,60,0.9,1.8,0.85,7.4,0.45,4,0.35,1.3,73,5.1,70,2,56,60,1.6,0.5,88,,,,
players,哈桑,怀特塞德,C,29,200,200,15,79,1.8,3.2,0.73,10.7,0.46,1,0.31,3.2,74,8.8,65,0.8,82,54,0.7,1.6,87,,,,
players,埃内斯,坎特,C,26,200,200,19,60,1.9,2.3,0.87,10,0.47,1,0.26,3.6,67,7,56,1.5,68,50,0.5,0.5,86,,,,
players,杰伦,布朗,SG,21,200,200,1,52,1.7,3.2,0.6,6.8,0.43,4.6,0.34,0.9,70,4.4,66,1.6,48,63,1,0.4,87,,,,
players,尤素夫,努尔基奇,C,23,200,200,24,68,2.5,3.7,0.67,11.9,0.45,1,0.26,2.1,72,6.1,51,1.8,67,61,0.8,1.3,87,,,,
players,乔纳森,西蒙斯,SF,28,200,200,21,41,2,3.2,0.77,8.3,0.43,2.9,0.32,0.9,59,2.5,60,2.3,39,35,0.8,0.3,85,,,,
players,杰拉德,格林,SF,32,200,200,10,41,0.7,2.1,0.82,3.1,0.41,7.7,0.36,0.4,61,2.6,68,0.5,36,35,0.6,0.5,83,,,,
players,史蒂文,亚当斯,C,24,200,200,20,63,1.5,3.3,0.6,9.4,0.49,1,0.27,5.2,75,3.9,60,0.9,78,64,1.2,1,90,,,,
players,斯宾瑟,丁维迪,SG,25,200,200,2,48,1.6,3.5,0.83,5.4,0.41,5.8,0.34,0.5,65,2.8,61,6.7,43,48,0.8,0.3,85,,,,
players,克里斯,邓恩,PG,24,200,200,4,63,3,1.9,0.7,10.8,0.43,2.6,0.32,0.6,71,4.1,61,6.4,55,60,2.1,0.5,85,,,,
players,博扬,博格达诺维奇,SG,29,200,200,11,40,1.2,2.4,0.84,5.6,0.43,4.8,0.34,0.3,61,2.9,65,1.4,35,35,0.7,0.1,85,,,,
players,迈尔斯,特纳,C,22,200,200,11,70,1.6,3.5,0.75,7.7,0.44,2.5,0.3,1.2,73,5.2,59,1.4,65,66,0.5,2.1,88,,,,
players,杰森,塔特姆,SG,20,200,200,1,56,1.3,3.3,0.82,7,0.44,3,0.34,0.7,72,4.4,67,1.4,50,69,0.9,0.8,87,,,,
players,约什,理查德森,SG,24,200,200,15,53,1.9,1.9,0.82,6.7,0.43,4.5,0.34,0.7,69,2.6,65,2.8,48,54,1.3,0.9,88,,,,
players,杰里米,兰姆,SG,26,200,200,3,47,1.2,3,0.85,7.8,0.42,3.2,0.32,0.7,63,3.7,60,2.2,43,44,0.8,0.4,82,,,,
players,贾斯汀,霍勒迪,PG,29,200,200,4,49,1.3,2.6,0.82,5,0.4,6.6,0.35,0.5,63,3.9,62,2.3,43,37,1.1,0.5,86,,,,
players,马尔科姆,布罗格登,SG,25,200,200,16,45,1.4,1.8,0.88,7.2,0.43,3.4,0.33,0.5,64,2.8,64,3.2,40,46,0.9,0.3,85,,,,
players,埃尔弗里德,佩顿,PG,24,200,200,23,53,2.6,2.6,0.64,9,0.45,1.5,0.32,1,66,3,63,6.3,49,52,1.4,0.4,84,,,,
players,德马雷,卡罗尔,SF,31,200,200,2,51,1.5,3.4,0.78,5.7,0.41,5.1,0.33,1.6,62,4.8,60,2,50,35,0.9,0.4,86,,,,
players,艾尔,霍福德,C,32,200,200,1,69,2,1.5,0.73,7.1,0.45,3.3,0.32,1.4,72,6.4,64,5.2,64,45,0.6,1.2,90,,,,
players,考特尼,李,SG,32,200,200,19,44,1.3,1.9,0.9,7,0.42,3.9,0.34,0.5,60,2.9,63,2.8,39,35,1.2,0.2,86,,,,
players,肯塔维奥斯,卡德维尔,SG,25,200,200,13,50,1.3,2.8,0.76,5.4,0.41,5.5,0.34,0.9,66,3.9,62,2,46,49,1.6,0.2,86,,,,
players,韦斯利,马修斯,SG,31,200,200,6,43,1.4,1.7,0.82,4.8,0.41,6.3,0.34,0.4,59,2.8,63,2.9,38,35,1.2,0.2,86,,,,
players,肯特,贝兹莫尔,SG,29,200,200,0,55,2.4,3.2,0.8,6.3,0.41,4.2,0.34,0.4,64,3.6,62,3.6,48,39,1.6,0.7,84,,,,
players,罗波特,考文顿,SF,27,200,200,22,58,1.9,1.8,0.86,3.6,0.41,7,0.35,0.7,68,4.8,65,1.9,52,48,1.6,0.7,88,,,,
players,达伦,科里森,PG,30,200,200,11,48,1.3,2.2,0.9,6.4,0.43,3.1,0.34,0.6,66,2.1,65,5.3,43,38,1.4,0.3,84,,,,
players,伊托万,摩尔,PG,29,200,200,18,39,1.3,0.9,0.69,6.2,0.44,3.8,0.34,0.7,60,2,67,2.1,36,35,0.9,0.1,85,,,,
players,赛尔吉,伊巴卡,PF,28,200,200,27,59,1.2,1.5,0.78,6.5,0.44,3.9,0.33,0.9,67,5.1,64,0.8,54,44,0.3,1.4,86,,,,
players,杰夫,蒂格,PG,30,200,200,17,53,2.7,2.8,0.81,7.6,0.42,3.1,0.33,0.4,69,2.4,60,7.1,46,44,1.5,0.4,86,,,,
players,迈克尔,比斯利,SF,29,200,200,19,46,1.9,2.5,0.77,9.2,0.44,1,0.31,1.4,59,4,60,1.3,46,35,0.5,0.5,80,,,,
players,巴迪,希尔德,SG,24,200,200,25,42,1.4,1,0.87,6.1,0.42,4.8,0.35,0.5,59,2.9,65,1.5,37,41,0.9,0.2,81,,,,
players,鲁迪,戈波特,C,26,200,200,28,82,1.9,5.2,0.69,7.7,0.46,1,0.26,2.7,75,7.1,53,1.4,81,62,0.6,2.4,90,,,,
players,罗宾,洛佩斯,C,30,200,200,4,44,1.8,1.6,0.76,10.6,0.44,1,0.26,2.2,58,2.5,50,2,47,35,0.2,0.8,86,,,,
players,威利,考利,C,24,200,200,25,59,1.5,3.3,0.62,10.1,0.44,1,0.26,1.7,65,5,49,2.2,58,49,1.1,0.9,87,,,,
players,德克,诺维茨基,PF,40,200,200,6,48,0.6,1.6,0.9,5.8,0.42,4.1,0.34,0.4,55,5.3,63,1.6,42,35,0.6,0.5,83,,,,
players,里基,卢比奥,PG,27,200,200,28,52,2.8,3.1,0.86,7,0.41,3.4,0.32,0.5,66,3.7,57,5.2,46,44,1.5,0.1,84,,,,
players,阿伦,克拉布,SG,26,200,200,2,44,1.2,1.7,0.85,3.9,0.4,6.8,0.34,0.4,59,3.9,61,1.6,39,37,0.6,0.4,84,,,,
players,陶林,普林斯,SF,24,200,200,0,49,2.2,1.8,0.83,5.9,0.41,4.7,0.34,0.7,61,4.1,61,2.3,44,44,0.9,0.5,86,,,,
players,德里克,费弗斯,PF,27,200,200,28,57,1.3,2.8,0.69,8.7,0.45,1,0.29,2.5,67,4.8,57,1.3,60,47,0.8,0.9,86,,,,
players,多曼塔斯,萨博尼斯,PF,22,200,200,11,56,2,3.3,0.73,8.6,0.44,1,0.31,2.5,68,5.7,60,2.2,59,58,0.5,0.5,85,,,,
players,鲍比,波蒂斯,PF,23,200,200,4,48,1.3,2.3,0.82,7.3,0.43,2.8,0.32,2.2,63,4.3,59,1.7,51,49,0.6,0.3,82,,,,
players,帕特里克,贝弗利,PG,30,200,200,12,50,2.3,1.5,0.82,5.3,0.41,5.5,0.35,1.5,65,2.6,63,2.9,50,38,1.6,0.5,84,,,,
players,马库斯,莫里斯,PF,28,200,200,1,46,1.2,2.6,0.81,6.5,0.41,3.9,0.33,0.9,62,4.4,59,1.2,43,36,0.5,0.3,84,,,,
players,约纳斯,瓦兰丘纳斯,C,26,200,200,27,58,1.4,2.6,0.82,7.7,0.45,1,0.31,2.3,69,6.1,62,1,60,51,0.4,0.7,84,,,,
players,泰,吉布森,PF,33,200,200,17,54,1.1,2.1,0.77,8.6,0.45,1,0.29,2.5,65,4.8,57,1.3,58,35,0.8,0.7,89,,,,
players,赛迪斯,杨,PF,30,200,200,11,53,1.3,1,0.6,8.3,0.44,2.4,0.32,2.1,66,3.8,62,2.1,54,40,1.5,0.4,89,,,,
